,storename,address,loncationdetail,lon,lat,city,province,district,township,geometry
684,延吉天池店,吉林省延吉市公园路1500号（天池广场汉堡王餐厅1层16号）,"129.487239,42.907694",129.487239,42.907694,延边朝鲜族自治州,吉林省,延吉市,公园街道,POINT (129.487239 42.907694)
685,南京紫荆广场,南京市雨花台区养回红村158号紫荆广场一层255、二层324号商铺,"118.793801,31.992301",118.793801,31.992301,南京市,江苏省,雨花台区,雨花街道,POINT (118.793801 31.992301)
686,上海南汇禹洲国际,上海市浦东新区沪南公路9858弄1号101、201号商铺,"121.738639,31.039400",121.738639,31.0394,上海市,上海市,浦东新区,惠南镇,POINT (121.738639 31.0394)
687,沈阳一方店,沈阳市沈河区文化路81号一方广场一楼F103汉堡王餐厅,"123.436453,41.770696",123.436453,41.770696,沈阳市,辽宁省,沈河区,五里河街道,POINT (123.436453 41.770696)
688,广州火村服务区店,广州市萝岗区北二环高速公路服务区C区,"113.270056,23.304919",113.270056,23.304919,广州市,广东省,白云区,人和镇,POINT (113.270056 23.304919)
689,海口国兴路餐厅,海口市美兰区美苑路6号盛达景都C栋一楼,"110.374113,20.018806",110.374113,20.018806,海口市,海南省,美兰区,白龙街道,POINT (110.374113 20.018806)
690,杭州庆春广场,浙江省杭州市江干区四季青街道庆春广场站地铁站商业空间A1、A2、A3号商铺,"120.213915,30.254603",120.213915,30.254603,杭州市,浙江省,江干区,四季青街道,POINT (120.213915 30.254603)
691,成都海滨城,成都市蛟龙港双流园区海滨城一层A115-1号,"103.910727,30.603529",103.910727,30.603529,成都市,四川省,双流区,九江街道,POINT (103.910727 30.603529)
692,南京六合欢乐港,南京市雄州街道双客路97号欢乐港B1层B1016号商铺,"118.836494,32.336006",118.836494,32.336006,南京市,江苏省,六合区,雄州街道,POINT (118.836494 32.336006)
693,深圳华南城华盛奥莱,深圳市龙岗区龙平湖街道禾花社区华南大道一号华南城1号交易广场负一楼B1H-019、B1H-018B,"114.124508,22.674828",114.124508,22.674828,深圳市,广东省,龙岗区,平湖街道,POINT (114.124508 22.674828)
694,泰州万达店,泰州市济川东路232号万达广场2085/2086/2087号商铺。,"119.914864,32.472380",119.914864,32.47238,泰州市,江苏省,海陵区,城南街道,POINT (119.914864 32.47238)
695,成都双铁路,四川省成都市郫县犀浦镇双铁路88 号润扬双铁广场悦尚购物中心1楼3、4号及2楼7、8号,"103.975704,30.758409",103.975704,30.758409,成都市,四川省,郫都区,犀浦镇,POINT (103.975704 30.758409)
696,福州中防万宝城,福州台江区工业路199号中防万宝城L1层MSL1-026汉堡王餐厅,"119.290404,26.063211",119.290404,26.063211,福州市,福建省,台江区,上海街道,POINT (119.290404 26.063211)
697,大连百年奥莱店,辽宁省大连市西岗区香炉礁海顺街101A-7号汉堡王餐厅,"121.602800,38.927937",121.6028,38.927937,大连市,辽宁省,西岗区,香炉礁街道,POINT (121.6028 38.927937)
698,鞍山乐都汇店,辽宁省鞍山市铁东区建国南路48号，乐都汇一楼汉堡王,"122.985680,41.110270",122.98568,41.11027,鞍山市,辽宁省,铁东区,胜利街道,POINT (122.98568 41.11027)
699,沈阳星摩尔一楼,沈阳市铁西区北二中路6号星摩尔沈阳购物广场GB-06,"123.375716,41.809433",123.375716,41.809433,沈阳市,辽宁省,铁西区,笃工街道,POINT (123.375716 41.809433)
700,上海兴梅路店,上海市闵行区兴梅路1219号、1225号,"121.411408,31.105369",121.411408,31.105369,上海市,上海市,闵行区,梅陇镇,POINT (121.411408 31.105369)
701,洛阳泉舜财富中心,洛阳市洛龙区牡丹大道166号泉舜购物中心,"112.454472,34.612903",112.454472,34.612903,洛阳市,河南省,洛龙区,关林街道,POINT (112.454472 34.612903)
702,天津友阿奥特莱斯,天津市滨海新区塘沽海洋科技园西中环与山道交口天津友阿奥特莱斯购物中心三号楼107/108/109,"117.626809,39.064089",117.626809,39.064089,天津市,天津市,滨海新区,海洋高新技术产业园区,POINT (117.626809 39.064089)
703,上海上滨生活广场,上海市虹口区周家嘴路917号129、130单元,"121.512679,31.264577",121.512679,31.264577,上海市,上海市,杨浦区,江浦路街道,POINT (121.512679 31.264577)
704,淄博新玛特店,山东省淄博市张店区中润大道与世纪路交叉口新玛特商场二期一层汉堡王,"118.035807,36.848143",118.035807,36.848143,淄博市,山东省,张店区,四宝山街道,POINT (118.035807 36.848143)
705,天津华明餐厅,天津市东丽区华明镇明湖苑旁兴福亿家超市底商汉堡王餐厅,"117.390468,39.172200",117.390468,39.1722,天津市,天津市,东丽区,华明街道,POINT (117.390468 39.1722)
706,台江万达餐厅,福建省福州市台江区鳌江路8号金融街万达广场万达百货一层1225汉堡王餐厅,"119.343304,26.052221",119.343304,26.052221,福州市,福建省,台江区,鳌峰街道,POINT (119.343304 26.052221)
